time UTC,port1 Contact Temperature Contact Temperature [°C],port1 Vibration Velocity RMS v-RMS X [mm/s],port1 Vibration Velocity RMS v-RMS Y [mm/s],port1 Vibration Velocity RMS v-RMS Z [mm/s]
2024-08-25T17:37:20.288483375Z,24.244169235229492,0.23275400698184967,0.22209855914115906,0.1925617754459381
2024-08-25T17:37:20.538441625Z,24.20821762084961,0.13581112027168274,0.1434444934129715,0.13477067649364471
2024-08-25T17:37:20.7884545Z,24.20821762084961,0.12100250273942947,0.12662626802921295,0.14168618619441986
2024-08-25T17:37:21.0384495Z,24.178916931152344,0.16062456369400024,0.1156967431306839,0.11545023322105408
2024-08-25T17:37:21.288494375Z,24.178916931152344,0.14153054356575012,0.12211193889379501,0.12342298775911331
2024-08-25T17:37:21.538537125Z,24.19105339050293,0.14194615185260773,0.09963224828243256,0.13373124599456787
2024-08-25T17:37:21.788531875Z,24.19105339050293,0.15316414833068848,0.13550345599651337,0.10845243185758591
2024-08-25T17:37:22.038576875Z,24.18602752685547,0.12562137842178345,0.1369134932756424,0.1553594470024109
2024-08-25T17:37:22.288593125Z,24.18602752685547,0.13488373160362244,0.11114251613616943,0.10653649270534515
2024-08-25T17:37:22.53855825Z,24.232301712036133,0.10935959964990616,0.11079835891723633,0.1679091900587082
2024-08-25T17:37:22.78857925Z,24.232301712036133,0.15377533435821533,0.1442038118839264,0.11466152220964432
2024-08-25T17:37:23.038561375Z,24.301525115966797,0.11285658925771713,0.11053818464279175,0.09425817430019379
2024-08-25T17:37:23.28858475Z,24.301525115966797,0.15219487249851227,0.1604943871498108,0.1160893663764
2024-08-25T17:37:23.53856675Z,24.272850036621094,0.15433773398399353,0.11109738796949387,0.11492343246936798
2024-08-25T17:37:23.788535Z,24.272850036621094,0.15987758338451385,0.1437784731388092,0.16770069301128387
2024-08-25T17:37:24.038584Z,24.24053192138672,0.10593952238559723,0.16042889654636383,0.11661821603775024
2024-08-25T17:37:24.28855925Z,24.24053192138672,0.14380601048469543,0.10340872406959534,0.1470596343278885
2024-08-25T17:37:24.538607875Z,24.253917694091797,0.13957007229328156,0.12237382680177689,0.10405083000659943
2024-08-25T17:37:24.788578125Z,24.253917694091797,0.13038279116153717,0.15112155675888062,0.1131904274225235
2024-08-25T17:37:25.038592875Z,24.248374938964844,0.13595592975616455,0.1220954954624176,0.11621417850255966
2024-08-25T17:37:25.28856475Z,24.248374938964844,0.1145087480545044,0.15551415085792542,0.13480062782764435
2024-08-25T17:37:25.5385475Z,24.250669479370117,0.14049287140369415,0.10572099685668945,0.12353293597698212
2024-08-25T17:37:25.788577375Z,24.250669479370117,0.12773087620735168,0.12510007619857788,0.11049841344356537
2024-08-25T17:37:26.038530375Z,24.293914794921875,0.14424650371074677,0.12661918997764587,0.11357086151838303
2024-08-25T17:37:26.28855575Z,24.293914794921875,0.13104531168937683,0.14528344571590424,0.1266826093196869
2024-08-25T17:37:26.538590625Z,24.3201961517334,0.11610253900289536,0.132144033908844,0.13321411609649658
2024-08-25T17:37:26.788563375Z,24.3201961517334,0.10084820538759232,0.1346341073513031,0.14051541686058044
2024-08-25T17:37:27.038608125Z,24.309310913085938,0.1482875794172287,0.14078965783119202,0.18007464706897736
2024-08-25T17:37:27.288639375Z,24.309310913085938,0.15135686099529266,0.10412120819091797,0.10840883105993271
2024-08-25T17:37:27.538613875Z,24.313819885253906,0.16059723496437073,0.11421897262334824,0.14243076741695404
2024-08-25T17:37:27.78857475Z,24.313819885253906,0.15388286113739014,0.12519611418247223,0.14909377694129944
2024-08-25T17:37:28.03855875Z,24.31195068359375,0.13275368511676788,0.15253740549087524,0.11297473311424255
2024-08-25T17:37:28.288545625Z,24.31195068359375,0.1514686793088913,0.10679510980844498,0.13061554729938507
2024-08-25T17:37:28.5384985Z,24.312725067138672,0.11433909088373184,0.1422937512397766,0.11352499574422836
2024-08-25T17:37:28.7885105Z,24.312725067138672,0.11569815129041672,0.12791390717029572,0.1350698322057724
2024-08-25T17:37:29.038493125Z,24.356597900390625,0.11445547640323639,0.1383102536201477,0.10618647187948227
2024-08-25T17:37:29.2884765Z,24.356597900390625,0.14387857913970947,0.14472554624080658,0.09808894246816635
2024-08-25T17:37:29.538484625Z,24.338424682617188,0.16506080329418182,0.11634080857038498,0.10425663739442825
2024-08-25T17:37:29.788494Z,24.338424682617188,0.13000905513763428,0.1348295509815216,0.14816585183143616
2024-08-25T17:37:30.038519Z,24.301759719848633,0.1417146772146225,0.15725336968898773,0.1560727059841156
2024-08-25T17:37:30.288493125Z,24.301759719848633,0.1288522332906723,0.13574036955833435,0.11443663388490677
2024-08-25T17:37:30.53853Z,24.40533447265625,0.143609881401062,0.12468796968460083,0.09313727915287018
2024-08-25T17:37:30.78849425Z,24.40533447265625,0.1102769747376442,0.1449824720621109,0.12882165610790253
2024-08-25T17:37:31.038532875Z,24.406627655029297,0.1492043286561966,0.1330755352973938,0.12021168321371078
2024-08-25T17:37:31.28849175Z,24.406627655029297,0.09910345077514648,0.13025595247745514,0.08787884563207626
2024-08-25T17:37:31.53849175Z,24.361896514892578,0.09851501137018204,0.09991857409477234,0.12982125580310822
2024-08-25T17:37:31.788476Z,24.361896514892578,0.13264256715774536,0.11229142546653748,0.11806876212358475
2024-08-25T17:37:32.038532375Z,24.38042449951172,0.10946457087993622,0.14462260901927948,0.08887656033039093
2024-08-25T17:37:32.288580375Z,24.38042449951172,0.11175506561994553,0.13443540036678314,0.15826086699962616
2024-08-25T17:37:32.53856275Z,24.37274932861328,0.12197475135326385,0.09183402359485626,0.10555668920278549
2024-08-25T17:37:32.7885525Z,24.37274932861328,0.11910396069288254,0.13986504077911377,0.11130005866289139
2024-08-25T17:37:33.038584125Z,24.42012596130371,0.13074246048927307,0.11764999479055405,0.1269414722919464
2024-08-25T17:37:33.2886025Z,24.42012596130371,0.14693863689899445,0.10798542201519012,0.14236098527908325
2024-08-25T17:37:33.53859525Z,24.44469451904297,0.1445918083190918,0.11000798642635345,0.08963330835103989
2024-08-25T17:37:33.78863875Z,24.44469451904297,0.11822531372308731,0.13090640306472778,0.13581711053848267
2024-08-25T17:37:34.038689875Z,24.434518814086914,0.17397718131542206,0.12929296493530273,0.19119764864444733
2024-08-25T17:37:34.288690875Z,24.434518814086914,0.13143174350261688,0.157357856631279,0.11025520414113998
2024-08-25T17:37:34.538697125Z,24.482925415039062,0.1440846025943756,0.1085808128118515,0.10337241739034653
2024-08-25T17:37:34.788706875Z,24.482925415039062,0.11221832782030106,0.12525975704193115,0.11617386341094971
2024-08-25T17:37:35.038751375Z,24.507068634033203,0.1367323100566864,0.12054421752691269,0.1071200966835022
2024-08-25T17:37:35.288714Z,24.507068634033203,0.09500009566545486,0.13216501474380493,0.12667642533779144
2024-08-25T17:37:35.538687625Z,24.497068405151367,0.11510571837425232,0.11773376911878586,0.11045075207948685
2024-08-25T17:37:35.788685375Z,24.497068405151367,0.10554728657007217,0.12991644442081451,0.1257603019475937
2024-08-25T17:37:36.038696625Z,24.501211166381836,0.10563381016254425,0.11351380497217178,0.1286371648311615
2024-08-25T17:37:36.288726875Z,24.501211166381836,0.11611364781856537,0.13322944939136505,0.12276936322450638
2024-08-25T17:37:36.538759875Z,24.499496459960938,0.11274165660142899,0.12587961554527283,0.12605172395706177
2024-08-25T17:37:36.78875025Z,24.499496459960938,0.09906267374753952,0.11270220577716827,0.11746107786893845
2024-08-25T17:37:37.03878225Z,24.500205993652344,0.1290944218635559,0.13900399208068848,0.112737737596035
2024-08-25T17:37:37.28880325Z,24.500205993652344,0.1290944218635559,0.13900399208068848,0.112737737596035
2024-08-25T17:37:37.538821125Z,24.455718994140625,0.1265612542629242,0.1155792623758316,0.10475514829158783
2024-08-25T17:37:37.788797875Z,24.455718994140625,0.10614684969186783,0.13641664385795593,0.11321645975112915
2024-08-25T17:37:38.0388525Z,24.429950714111328,0.10614684969186783,0.13641664385795593,0.11321645975112915
2024-08-25T17:37:38.2888665Z,24.429950714111328,0.14570142328739166,0.15445652604103088,0.12292057275772095
2024-08-25T17:37:38.538923Z,24.440624237060547,0.1558273732662201,0.13608254492282867,0.13889294862747192
2024-08-25T17:37:38.78896675Z,24.440624237060547,0.16642777621746063,0.15178723633289337,0.1100742295384407
2024-08-25T17:37:39.03902425Z,24.480398178100586,0.1345101296901703,0.11931493878364563,0.1090274229645729
2024-08-25T17:37:39.289067875Z,24.480398178100586,0.14610396325588226,0.0975804328918457,0.12810246646404266
2024-08-25T17:37:39.5390645Z,24.508115768432617,0.12933285534381866,0.11082954704761505,0.13517704606056213
2024-08-25T17:37:39.789050625Z,24.508115768432617,0.09956905990839005,0.10720556229352951,0.14455008506774902
2024-08-25T17:37:40.03908375Z,24.54083251953125,0.1250009536743164,0.14217394590377808,0.130278080701828
2024-08-25T17:37:40.289116875Z,24.54083251953125,0.13425765931606293,0.12108250707387924,0.12684094905853271
2024-08-25T17:37:40.5390915Z,24.571474075317383,0.13816024363040924,0.13248807191848755,0.10287641733884811
2024-08-25T17:37:40.789088375Z,24.571474075317383,0.11823785305023193,0.14621073007583618,0.10511452704668045
2024-08-25T17:37:41.039051Z,24.51458740234375,0.16601349413394928,0.11257389932870865,0.1749412715435028
2024-08-25T17:37:41.289042125Z,24.51458740234375,0.12631061673164368,0.110734723508358,0.14485667645931244
2024-08-25T17:37:41.53900975Z,24.493953704833984,0.11880849301815033,0.11693737655878067,0.14667865633964539
2024-08-25T17:37:41.788973125Z,24.493953704833984,0.17885924875736237,0.09713692218065262,0.11758280545473099
2024-08-25T17:37:42.03903225Z,24.50250244140625,0.13566529750823975,0.13949105143547058,0.1286638081073761
2024-08-25T17:37:42.289016125Z,24.50250244140625,0.1297679841518402,0.11733992397785187,0.13602566719055176
2024-08-25T17:37:42.5389805Z,24.498960494995117,0.1145797073841095,0.11731588840484619,0.14046108722686768
2024-08-25T17:37:42.78903975Z,24.498960494995117,0.14083901047706604,0.13598598539829254,0.10121892392635345
2024-08-25T17:37:43.0390295Z,24.54462432861328,0.14406555891036987,0.10317372530698776,0.08082474768161774
2024-08-25T17:37:43.288988Z,24.54462432861328,0.1311090886592865,0.11836429685354233,0.09540319442749023
2024-08-25T17:37:43.53896575Z,24.569904327392578,0.12988325953483582,0.13730327785015106,0.1416626125574112
2024-08-25T17:37:43.78894075Z,24.569904327392578,0.14269256591796875,0.1334274560213089,0.1531704217195511
2024-08-25T17:37:44.039Z,24.559432983398438,0.13275127112865448,0.14492473006248474,0.13014918565750122
2024-08-25T17:37:44.2890085Z,24.559432983398438,0.12688973546028137,0.10932542383670807,0.1077616736292839
2024-08-25T17:37:44.538987875Z,24.563770294189453,0.11363577097654343,0.13666875660419464,0.09852688759565353
2024-08-25T17:37:44.788974125Z,24.563770294189453,0.13987858593463898,0.1464861035346985,0.16428102552890778
2024-08-25T17:37:45.038957625Z,24.561973571777344,0.09741128236055374,0.12151076644659042,0.11611297726631165
2024-08-25T17:37:45.28894725Z,24.561973571777344,0.10059187561273575,0.1349029392004013,0.12481097877025604
